id,name,area,address,phone,specialties,emergency,beds,icu_beds,emergency_beds,trauma_level,rating,latitude,longitude,facility_type,empanelled_schemes,avg_consultation_fee,treatment_cost_range
H001,King George's Medical University (KGMU),Chowk,Shah Mina Road Chowk Lucknow,0522-2257450,Trauma Center Cardiology Neurology Pulmonology Pediatrics Nephrology,Yes,1200,150,85,Level 1 Apex Trauma,4.8,26.8689,80.9157,Government,Ayushman Bharat PM-JAY; Chief Minister Jan Arogya; CGHS,₹500,Low / Subsidized (Free for scheme beneficiaries)
H002,Dr Ram Manohar Lohia Institute of Medical Sciences,Gomti Nagar,Vibhuti Khand Gomti Nagar Lucknow,0522-6692000,Trauma Center Cardiology Oncology Nephrology Emergency Neurosurgery,Yes,975,110,60,Level 1 Trauma Center,4.7,26.8587,81.0008,Government,Ayushman Bharat PM-JAY; Chief Minister Jan Arogya Yojana,₹600,Low / Subsidized
H003,Sanjay Gandhi Postgraduate Institute of Medical Sciences (SGPGI),Raebareli Road,Raebareli Road Lucknow,0522-2668700,Super-Specialty Cardiology Nephrology Gastroenterology Organ Transplant Critical Care,Yes,1100,160,75,Level 1 Apex Specialty,4.9,26.7460,80.9380,Government Autonomous,Ayushman Bharat PM-JAY; CGHS; ECHS; State Employees Health Card,₹800,Subsidized / State Scale
H004,Medanta Hospital Lucknow,Amar Shaheed Path,Amar Shaheed Path Golf City Lucknow,0522-4505050,Cardiology Cardiac Surgery Neurology Orthopedics Critical Care Emergency,Yes,1000,180,90,Level 1 Tertiary Emergency,4.9,26.7883,81.0225,Private Super-Specialty,Ayushman Bharat (Selected Wards); Corporate Insurances; Cashless,₹1200,"Moderate to High (₹50,000 - ₹3,00,000+)"
H005,Apollomedix Super Specialty Hospital,Gomti Nagar,Shaheed Path Gomti Nagar Lucknow,0522-3505050,Cardiology Oncology Pediatrics Emergency Care Gastroenterology Urology,Yes,300,65,35,Level 2 Emergency Trauma,4.6,26.8202,81.0194,Private Super-Specialty,Ayushman Bharat PM-JAY; Private TPA Insurances,₹1000,"Moderate to High (₹30,000 - ₹2,00,000)"
H006,Divine Heart & Multispecialty Hospital,Aliganj,Sector B Aliganj Lucknow,0522-4077777,Cardiology Cardiac Surgery Emergency Medicine Critical Care,Yes,150,30,15,Level 2 Cardiac Specialty,4.5,26.8952,80.9464,Private Specialty,Ayushman Bharat PM-JAY; CGHS; ECHS,₹800,"Moderate (₹20,000 - ₹1,50,000)"
H007,Balrampur Hospital Hazratganj,Hazratganj,Near GPO Hazratganj Lucknow,0522-2624040,General Medicine Emergency Trauma Pediatrics Orthopedics Surgery,Yes,756,45,40,Level 2 District Trauma,4.4,26.8514,80.9460,Government,Ayushman Bharat PM-JAY; Chief Minister Jan Arogya Yojana,₹50,Nominal / Free
H008,Shyama Prasad Mukherji Civil Hospital,Hazratganj,Park Road Hazratganj Lucknow,0522-2620777,General Medicine Gynecology Emergency Surgery Dialysis Burn Unit,Yes,300,25,20,Level 2 General Emergency,4.3,26.8501,80.9476,Government,Ayushman Bharat PM-JAY; Chief Minister Jan Arogya Yojana,₹50,Nominal / Free
H009,Sahara Hospital Lucknow,Gomti Nagar,Viraj Khand Gomti Nagar Lucknow,0522-6780000,Cardiology Neurology Gastroenterology Nephrology Trauma Orthopedics,Yes,250,50,25,Level 2 Emergency Trauma,4.5,26.8485,81.0150,Private Super-Specialty,Ayushman Bharat PM-JAY; Private Insurances,₹1000,"Moderate to High (₹40,000 - ₹2,50,000)"
H010,Era's Lucknow Medical College & Hospital,Sarfarazganj,Hardoi Road Sarfarazganj Lucknow,0522-2408122,General Surgery Pediatrics Orthopedics Emergency Care Pulmonology,Yes,650,70,45,Level 2 Medical College Emergency,4.2,26.8620,80.8750,Private Trust,Ayushman Bharat PM-JAY; UP State Schemes,₹400,Affordable to Moderate
H011,Integral Institute of Medical Sciences,Dasauli,Kursi Road Dasauli Lucknow,0522-2890730,Multi-Specialty Emergency Care Obstetrics Pediatrics Radiology,Yes,550,55,30,Level 2 Emergency Center,4.1,26.9350,80.9720,Private Trust,Ayushman Bharat PM-JAY,₹400,Affordable to Moderate
H012,Charak Hospital & Research Centre,Dubagga,Hardoi Bypass Dubagga Lucknow,0522-2401111,Trauma Care Orthopedics General Surgery ICU Critical Care,Yes,200,35,20,Level 2 Trauma Center,4.3,26.8600,80.8650,Private,Ayushman Bharat PM-JAY; CM Relief Fund,₹500,Affordable to Moderate
H013,Command Hospital Central Command,Cantonment,Cantonment Lucknow,0522-2296200,Military Defense Multispecialty Emergency ICU Surgery Trauma,Yes,780,90,50,Level 1 Armed Forces Apex,4.9,26.8333,80.9500,Defense Military,ECHS; Defense Forces Welfare,₹0,Free for Armed Forces & Dependents
H014,Chandan Hospital Lucknow,Faizabad Road,Faizabad Road Vijay Khand Lucknow,0522-6666666,Cardiology Emergency Care Critical Care Neurology Pediatrics,Yes,300,45,25,Level 2 Multi-Specialty,4.4,26.8670,81.0020,Private Super-Specialty,Ayushman Bharat PM-JAY; Private TPA Insurances,₹800,"Moderate (₹25,000 - ₹1,80,000)"
